chinese_name,english_name
卡罗尔学院,Carroll College
科蒂斯音乐学院,Curtis Institute of Music
落基山学院,Rocky Mountain College
里德学院,Reed College
拉文大学,University of La Verne
林顿伍德大学,Lindenwood University
罗德岛设计学院,Rhode Island School of Design
罗切斯特理工学院,Rochester Institute of Technology
罗斯霍曼理工学院,Rose-Hulman Institute of Technology
里奥洪多学院,Rio Hondo College
利普斯科姆大学,Lipscomb University
绿河社区学院,Green River Community College
蓝天学院,Skyline College
罗克赫斯特大学,Rockhurst University
罗德岛大学,University of Rhode Island
联合学院与大学,Union Institute & University
莱克福里斯特学院,Lake Forest College
