chinese_name,english_name
喀山国立音乐学院,Kazan State Conservatory named after N.G. Zhiganov
喀山图波列夫国家研究型技术大学,Kazan National Research Technical University named after A.N. Tupolev
喀山（伏尔加沿岸）联邦大学,Kazan (Volga Region) Federal University
因纳波利斯大学,Innopolis University
国家研究中心库尔恰托夫研究所,National Research Center 'Kurchatov Institute'
国家研究型下诺夫哥罗德国立大学,Lobachevsky State University of Nizhny Novgorod
国家研究型大学-伊尔库茨克国立理工大学,Irkutsk National Research Technical University
国家研究型大学“莫斯科动力学院”,National Research University Moscow Power Engineering Institute
国家研究型大学“莫斯科电子技术学院”,National Research University of Electronic Technology
国家研究型托姆斯克国立大学,Tomsk State University
国家研究型核技术大学“莫斯科物理工程学院”,National Research Nuclear University MEPhI
国家研究型莫尔多瓦国立大学,Ogarev Mordovia State University
国家研究型莫斯科国立建筑大学,Moscow State University of Civil Engineering
国家研究型高等经济大学,National Research University Higher School of Economics
国立人文科学大学,State Academic University for the Humanities
国立土地规划大学,State University of Land Use Planning
国立教育大学,State University of Education
国立普希金俄语学院,Pushkin State Russian Language Institute
国立海事大学,Admiral Ushakov State Maritime University
国立社会人文大学,State University of Humanities and Social Studies
国立管理大学,State University of Management
国立音乐师范学院,M. M. Ippolitov-Ivanov State Music Pedagogical Institute
国际创新大学,International Innovation University
国际市场学院,International Market Institute
图拉国立大学,Tula State University
图拉国立师范大学,Tula State Lev Tolstoy Pedagogical University
图瓦国立大学,Tuvan State University
圣彼得堡列宁国立电子技术大学“LETI”,Saint Petersburg Electrotechnical University 'LETI'
圣彼得堡列宾美术学院,Repin Academy of Arts
圣彼得堡国立交通大学,Emperor Alexander I St. Petersburg State Transport University
圣彼得堡国立体育、运动与健康大学,Lesgaft National State University of Physical Education  Sport and Health
圣彼得堡国立儿科医科大学,Saint Petersburg State Pediatric Medical University
圣彼得堡国立兽医大学,Saint Petersburg State University of Veterinary Medicine
圣彼得堡国立农业大学,Saint Petersburg State Agrarian University
圣彼得堡国立大学,Saint Petersburg State University
圣彼得堡国立工业技术与设计大学,Saint Petersburg State University of Industrial Technologies and Design
圣彼得堡国立工业美术学院,Saint Petersburg Stieglitz State Academy of Art and Design
圣彼得堡国立建筑大学,Saint Petersburg State University of Architecture and Civil Engineering
圣彼得堡国立影视学院,Saint Petersburg State University of Film and Television
圣彼得堡国立技术学院（技术大学）,Saint Petersburg State Institute of Technology
圣彼得堡国立文化学院,Saint Petersburg State Institute of Culture
圣彼得堡国立林业技术大学,Saint Petersburg State Forest Technical University
圣彼得堡国立海洋技术大学,Saint Petersburg State Marine Technical University
圣彼得堡国立电信大学,The Bonch-Bruevich Saint-Petersburg State University of Telecommunications
圣彼得堡国立经济大学,Saint Petersburg State University of Economics
圣彼得堡国立航空航天仪表大学,Saint Petersburg State University of Aerospace Instrumentation
圣彼得堡国立音乐学院,Rimsky-Korsakov Saint Petersburg State Conservatory
圣彼得堡国立马卡洛夫元帅河海舰队大学,Admiral Makarov State University of Maritime and Inland Shipping
圣彼得堡工会人文大学,Saint Petersburg University of Humanities and Social Sciences
圣彼得堡巴甫洛夫国立第一医科大学,Pavlov First Saint Petersburg State Medical University
圣彼得堡彼得大帝理工大学,Peter the Great St. Petersburg Polytechnic University
圣彼得堡技术、管理与经济大学,Saint Petersburg University of Management Technologies and Economics
圣彼得堡矿业大学,Saint Petersburg Mining University
坦波夫国立大学,Derzhavin Tambov State University
坦波夫国立技术大学,Tambov State Technical University
坦波夫国立音乐师范学院,Tambov State Musical Pedagogical Institute
塔甘罗格管理与经济学院,Taganrog Institute of Management and Economics
大卢基国立农学院,Velikie Luki State Agricultural Academy
太平洋国立医科大学,Pacific State Medical University
太平洋国立大学,Pacific National University
奔萨国立大学,Penza State University
奔萨国立建筑大学,Penza State University of Architecture and Construction
奥伦堡国立大学,Orenburg State University
奥伦堡国立师范大学,Orenburg State Pedagogical University
奥廖尔国立农业大学,Orel State Agrarian University
奥廖尔国立大学,Orel State University named after I.S. Turgenev
奥廖尔国立文化学院,Orel State Institute of Culture
奥廖尔国立经济与贸易大学,Orel State University of Economics and Trade
