chinese_name,english_name
吉林外国语大学,Jilin University of Foreign Languages
吉林工商学院,Jilin Business and Technology College
长春工程学院,Changchun Institute of Technology
吉林农业科技学院,
吉林警察学院,
长春大学,Changchun University
长春光华学院,Changchun Guanghua University
长春工业大学人文信息学院,
长春电子科技学院,
长春财经学院,
吉林建筑科技学院,
长春建筑学院,
长春科技学院,
吉林动画学院,
吉林师范大学博达学院,
长春大学旅游学院,
长春人文学院,
吉林医药学院,Jinlin Medical University
长春汽车职业技术大学,
长春职业技术大学,
吉林铁道职业技术大学,
长春师范高等专科学校,
辽源职业技术学院,
四平职业大学,
长春金融高等专科学校,
长春医学高等专科学校,
吉林交通职业技术学院,
长春东方职业学院,
吉林司法警官职业学院,
吉林电子信息职业技术学院,
吉林工业职业技术学院,
吉林工程职业学院,
白城医学高等专科学校,
长春信息技术职业学院,
松原职业技术学院,
白城职业技术学院,
长白山职业技术学院,
吉林科技职业技术学院,
延边职业技术学院,
吉林城市职业技术学院,
吉林职业技术学院,
吉林水利电力职业学院,
长春健康职业学院,
长春早期教育职业学院,
梅河口康美职业技术学院,
吉林通用航空职业技术学院,
通化医药健康职业学院,
长春数字科技职业学院,
四平现代职业学院,
黑龙江大学,Heilongjiang University
哈尔滨工业大学,Harbin Institute of Technology
哈尔滨理工大学,Harbin University of Science and Technology
哈尔滨工程大学,Harbin Engineering University
黑龙江科技大学,
东北石油大学,Northeast Petroleum University
佳木斯大学,Jiamusi University
黑龙江八一农垦大学,Heilongjiang Bayi Agricultural University
东北农业大学,Northeast Agricultural University
东北林业大学,Northeast Forestry University
哈尔滨医科大学,Harbin Medical University
黑龙江中医药大学,Heilongjiang University of Chinese Medicine
牡丹江医科大学,
哈尔滨师范大学,Harbin Normal University
齐齐哈尔大学,Qiqihar University
牡丹江师范学院,Mudanjiang Normal University
哈尔滨学院,Harbin University
大庆师范学院,Daqing Normal University
绥化学院,Suihua University
哈尔滨商业大学,Harbin University of Commerce
哈尔滨体育学院,Harbin Sport University
哈尔滨金融学院,Harbin Finance University
齐齐哈尔医学院,Qiqihar Medical University
黑龙江工业学院,Heilongjiang University of Technology
黑龙江东方学院,East University of Heilongjiang
哈尔滨信息工程学院,
